Apple iPhone 6	16GB - Gold - AT&T	358	http://assets1.glyde.com/static/93C3D108BC5C97236F3C2332A9F4ED830C768C21/images/phones/108x200/12077856p.jpg
Apple iPhone 6	16GB - Gold - Verizon*delim*64GB - Space Gray - AT&T*delim*64GB - Space Gray - Verizon	450*delim*495*delim*520	http://assets0.glyde.com/static/25EB208C520C2517A8B3E64650A666BE7B57F351/images/phones/99x200/12077823p.jpg*delim*http://assets0.glyde.com/static/4E9D84A29F6D315B82E0A5AB0F71F13DC07AE0FA/images/phones/108x200/12077859p.jpg*delim*http://assets1.glyde.com/static/381C1BD9EA22F264320B72CA8AA1B308638DD960/images/phones/99x200/12077828p.jpg
Apple iPhone 6	128GB - Space Gray - T-Mobile*delim*16GB - Space Gray - T-Mobile*delim*16GB - Silver - Verizon*delim*128GB - Gold - AT&T*delim*16GB - Gold - T-Mobile*delim*128GB - Space Gray - AT&T	417*delim*385*delim*520*delim*576*delim*453*delim*493	http://assets0.glyde.com/static/C9DE8265AF66948B0D92C19E30750C071AEEE2AF/images/phones/99x200/12077845p.jpg*delim*http://assets2.glyde.com/static/C7EE29D2C0744E19AE1811A4406A9D8418B49652/images/phones/99x200/12077821p.jpg*delim*http://assets1.glyde.com/static/BC3A4A2C643C3785A8BFEF8B7C56E5CFC87CF09D/images/phones/106x200/12077876p.jpg*delim*http://assets2.glyde.com/static/A4501DCAEA0EC12244F3404B478A744A3453B069/images/phones/103x200/12078211p.jpg*delim*http://assets3.glyde.com/static/90F1724671424118E123852DF5C7B73CBB087184/images/phones/103x200/12078212p.jpg*delim*http://assets3.glyde.com/static/52011FBA0E49DAC4245EAD61A8323645B4CD14F3/images/phones/103x200/12078216p.jpg
Apple iPhone 6	64GB - Space Gray - Sprint*delim*128GB - Silver - Sprint	599*delim*649	http://assets0.glyde.com/static/AFBC8D7AFFEA34FE8785F186423D54ACCC91640E/images/phones/104x200/12077882p.jpg*delim*http://assets2.glyde.com/static/E3793EF3930AEA1B05C07ED1FFA4395F13D7A50F/images/phones/108x200/12077866p.jpg
Apple iPhone 6	128GB - Space Gray - Verizon*delim*128GB - Silver - AT&T*delim*128GB - Silver - T-Mobile*delim*64GB - Gold - T-Mobile	592*delim*598*delim*719*delim*580	http://assets0.glyde.com/static/42A556C4CC03F4204CCA67F70A768856241C35C6/images/phones/99x200/12077841p.jpg*delim*http://assets1.glyde.com/static/17B94FA22338BE26162988D03113DA055BBB3B10/images/phones/104x200/12077883p.jpg*delim*http://assets1.glyde.com/static/2991F90D345137BC48C7560D22F3E1D97312ABBA/images/phones/106x200/12077867p.jpg*delim*http://assets3.glyde.com/static/DEE8503094B76EBF7861637E8506C2DDFFBF086D/images/phones/99x200/12077840p.jpg
Apple iPhone 6	128GB - Silver - Verizon	597	http://assets0.glyde.com/static/220C4000BA997CD02438FEFCACAE5E4C1D7DE4DE/images/phones/106x200/12077871p.jpg
Apple iPhone 6	128GB - Space Gray - Sprint*delim*64GB - Silver - T-Mobile	599*delim*580	http://assets3.glyde.com/static/6C16CBFB997A2E8481BD0F427700A818C2982658/images/phones/99x200/12077848p.jpg*delim*http://assets2.glyde.com/static/74E1B87DC84B46B1299086B7CE7A0A49C90EEB68/images/phones/99x200/12077847p.jpg
Apple iPhone 6 Plus	16GB - Gold - T-Mobile*delim*16GB - Gold - T-Mobile	418*delim*418	http://assets2.glyde.com/static/502D55F94ACC1C931543C5FB49B36547CE0A34A2/images/phones/104x200/12077888p.jpg*delim*http://assets2.glyde.com/static/502D55F94ACC1C931543C5FB49B36547CE0A34A2/images/phones/104x200/12077888p.jpg
Apple iPhone 6 Plus	128GB - Space Gray - Verizon	728	http://assets2.glyde.com/static/15C564D4E8532C03484BE51290BCFCC22C5529EB/images/phones/99x200/12077843p.jpg
Apple iPhone 6 Plus	64GB - Space Gray - AT&T	550	http://assets1.glyde.com/static/1387FE00784ABBB0DACBD5B1CBC4A7B7EFD8168E/images/phones/99x200/12077820p.jpg
