announced_date	battery	camera	current_status	dimensions	display_inches	image	is_Touch	memory	os	phone_model	processor	ram	resolution	url	weight
28-Oct-13				 6.32 x 3.21 x 0.31 inches	 6.0 inches	http://i-cdn.phonearena.com/images/phones/43497-specs/LG-G-Flex.jpg			" Android (4.4.2, 4.2.2) Optimus 3.0 UI"	LG G Flex		2048 MB 	 720 x 1280 pixels	http://www.phonearena.com/phones/LG-G-Flex_id8199	177 g
1-Nov-13						http://i-cdn.phonearena.com/images/phones/49992-specs/LG-F4N.jpg				LG F4N				http://www.phonearena.com/phones/LG-F4N_id8982	
27-Jan-14				 4.82 x 2.55 x 0.55 inches		http://i-cdn.phonearena.com/images/phones/45303-specs/LG-Optimus-F3Q.jpg			 Android (4.1.2)	LG Optimus F3Q				http://www.phonearena.com/phones/LG-Optimus-F3Q_id8243	182 g
5-Feb-14		2 megapixels		 4.04 x 2.32 x 0.52 inches	 3.0 inches	http://i-cdn.phonearena.com/images/phones/45291-specs/LG-Optimus-L1-II-TRI.jpg	 Multi-touch		 Android (4.1)	LG Optimus L1 II TRI			 240 x 320 pixels	http://www.phonearena.com/phones/LG-Optimus-L1-II-TRI_id8371	105 g
15-Feb-14			Released	 5.18 x 2.60 x 0.38 inches		http://i-cdn.phonearena.com/images/phones/46687-specs/LG-L90.jpg			" Android (5.0, 4.4.2)"	LG L90				http://www.phonearena.com/phones/LG-L90_id8416	126 g
15-Feb-14		5 megapixels	Released	 5.01 x 2.63 x 0.37 inches	 4.5 inches	http://i-cdn.phonearena.com/images/phones/47791-specs/LG-L70.jpg	 Multi-touch		 Android (4.4)	LG L70			 480 x 800 pixels	http://www.phonearena.com/phones/LG-L70_id8417	127 g
14-Mar-05						http://i-cdn.phonearena.com/images/phones/5484-specs/LG-PM-225.jpg				LG PM-225				http://www.phonearena.com/phones/LG-PM-225_id1171	
14-Mar-05						http://i-cdn.phonearena.com/images/phones/4122-specs/LG-VX-3300.jpg				LG VX-3300				http://www.phonearena.com/phones/LG-VX-3300_id951	80 g
10-Mar-05						http://i-cdn.phonearena.com/images/phones/7698-specs/LG-U8200.jpg				LG U8200				http://www.phonearena.com/phones/LG-U8200_id1176	125 g
14-Mar-05						http://i-cdn.phonearena.com/images/phones/4124-specs/LG-VX-5200.jpg				LG VX-5200				http://www.phonearena.com/phones/LG-VX-5200_id1178	
14-Mar-05						http://i-cdn.phonearena.com/images/phones/4120-specs/LG-VI-125.jpg				LG VI-125				http://www.phonearena.com/phones/LG-VI-125_id1181	
21-Mar-05						http://i-cdn.phonearena.com/images/phones/7721-specs/LG-UX-4750--AX-4750.jpg				LG UX-4750 / AX-4750				http://www.phonearena.com/phones/LG-UX-4750--AX-4750_id1193	
22-Apr-05						http://i-cdn.phonearena.com/images/phones/4930-specs/LG-VX-9800.jpg				LG VX-9800				http://www.phonearena.com/phones/LG-VX-9800_id1156	
29-Jul-05						http://i-cdn.phonearena.com/images/phones/4844-specs/LG-VX-4650.jpg				LG VX-4650				http://www.phonearena.com/phones/LG-VX-4650_id1271	
