Apple iPhone 5S,64GB - Silver - T-Mobile,349,0
Apple iPhone 5S,32GB - Silver - T-Mobile,348,0
Apple iPhone 5S,32GB - Gold - Verizon,359,0
Apple iPhone 5S,32GB - Gold - T-Mobile,359,0
Apple iPhone 5S,32GB - Space Gray - T-Mobile,335,0
Apple iPhone 5C,8GB - Pink - Verizon,175,0
Apple iPhone 5C,32GB - Pink - Sprint,199,0
Apple iPhone 5C,16GB - Blue - Sprint,179,0
Apple iPhone 5C,16GB - Pink - Sprint,179,0
Apple iPhone 5,32GB - Black & Slate - T-Mobile,229,0
Apple iPhone 5,16GB - White & Silver - T-Mobile,160,50
Apple iPhone 5,16GB - Black & Slate - T-Mobile,148,50
Apple iPhone 5,32GB - White & Silver - T-Mobile,219,0
Blackberry Z10,Black - AT&T,199,0
Blackberry Z10,White - T-Mobile,114,25
Blackberry Z10,Black - Verizon,118,75
Blackberry Z10,White - Verizon,81,75
Blackberry Z10,Black - T-Mobile,69,75
HTC Droid DNA,Black - Verizon,117,50
Nokia Lumia 822,16GB - White - Verizon,44,50
Samsung Galaxy Express,Grey - AT&T,54,50
Nokia Lumia 810,810 - Black - T-Mobile,73,0
HTC Windows Phone 8X,16GB - Blue - T-Mobile,87,0
LG Nexus 4,8GB - Black - AT&T,139,0
LG Nexus 4,16GB - Black - T-Mobile,125,0
HTC Windows Phone 8X,16GB - Black - Verizon,85,0
HTC Windows Phone 8X,16GB - Blue - Verizon,70,75
HTC Windows Phone 8X,16GB - Blue - AT&T,170,0
Nokia Lumia 920,920 - Blue - AT&T,98,25
Nokia Lumia 820,820 - Black - AT&T,50,50
Nokia Lumia 920,920 - Yellow - AT&T,99,0
HTC Windows Phone 8X,8GB - Blue - AT&T,68,50
Nokia Lumia 920,920 - Red - AT&T,82,0
Nokia Lumia 920,920 - Black - AT&T,81,75
Nokia Lumia 920,920 - White - AT&T,104,50
Samsung Galaxy S III Mini,8GB - White - AT&T,130,50
Samsung Galaxy S III Mini,8GB - Blue - AT&T,76,25
Samsung Galaxy S III Mini,8GB - Blue - Verizon,68,50
Samsung Galaxy Note II,16GB - Gray - Sprint,199,0
Samsung Galaxy Note II,16GB - White - Sprint,215,0
Samsung Galaxy Note II,16GB - Gray - Verizon,145,0
Samsung Galaxy Note II,16GB - White - Verizon,144,25
Samsung Galaxy Note II,16GB - White - T-Mobile,214,0
Samsung Galaxy Note II,16GB - Gray - T-Mobile,156,0
Samsung Galaxy Note II,16GB - White - AT&T,149,75
